COMBAT	Aim Optimizer	Slows mouse movement near targets and releases speed on the hitbox
COMBAT	AirAnchor	Attempts to place another respawn anchor in the exploded anchor position.
COMBAT	AntiBot	Detects and ignores anti-cheat bots instantly across servers.
COMBAT	Auto Crystal	Automatically places & breaks crystals
COMBAT	Auto Head Web	Places a cobweb at an opponent head when a reachable support block is adjacent.
COMBAT	Auto Inventory Totem	Briefly opens inventory and moves a totem into your offhand
COMBAT	Auto Totem	Refills your offhand with a totem after it is missing or pops
COMBAT	AutoCart	Automatically places a rail and minecart at a flaming arrow impact point.
COMBAT	AutoDhand	Moves a totem to the main hand after your offhand totem pops.
COMBAT	AutoHitCrystal	Places an obsidian & a crystal when hitting the ground
COMBAT	AutoMace	Aims and lands a mace smash on nearby opponents while falling.
COMBAT	AutoSafeAnchor	Places glowstone on the floor beside a newly placed anchor, toward the player.
COMBAT	Autoclicker	Automatically clicks at a configurable rate.
COMBAT	Backtrack	Delays an attacked player's movement packets so their recent position remains hittable.
COMBAT	BowSpam	Rapidly releases and restarts a held bow at minimum charge.
COMBAT	BreachSwap	Automatically swaps to a Breach mace during sword attacks, then switches back.
COMBAT	CartProtection	Places a selected hotbar block between you and a foreign lethal TNT cart.
COMBAT	Click Crystal	Speeds up repeated block placement without changing attacks or crystal interactions.
COMBAT	FastAnchor	Automatically explodes interracted & placed anchors.
COMBAT	FastCart	Places a minecart after you place a rail.
COMBAT	HitWeb	Places a cobweb under players after you hit them.
COMBAT	KeyXbow	Automatically preforms a Xbow explosion when looking at the ground.
COMBAT	KillAura	aim +phit
COMBAT	Knockback Displacement	Silently displaces knockback direction on hit.
COMBAT	LagRange	Briefly chokes outbound packets while closing into opponent range.
COMBAT	MaceSwap	Swaps to your best mace before falling attacks.
COMBAT	NoMissDelay	Removes the missed-hit attack delay based on chance.
COMBAT	PlayerFreeze	After hitting a player, holds packets for a fixed time and then flushes them.
COMBAT	PotAssist	Automatically throws safe splash potions when looking down.
COMBAT	ShieldBreaker	Switches to an axe and breaks shields on click.
COMBAT	Spear lunge	Automatically preforms a spear lunge at a click of a button
HUD	BPS	Shows movement speed in blocks per second in a small HUD cell.
HUD	Effects	Displays your active potion effects
HUD	FPS	Shows the current FPS in a small HUD cell.
HUD	Inventory	Shows a compact inventory item grid.
HUD	KeybindsHUD	Shows all bound modules and their assigned keys.
HUD	Module List	Liquid-style arraylist with scalable accents.
HUD	Notifications	Displays toggle and client notifications.
HUD	Promo	Displays custom promotional or watermark text on screen with`shadow and color shift.
HUD	Radar	Clean entity radar with player and mob dots.
HUD	Spotify	Shows the current Spotify song, album artwork, progress, and synced lyrics.
HUD	TargetHUD	Shows dynamic target info.
HUD	Watermark	Client logo watermark.
INTERFACE	Aim Helper	Removed legacy helper
INTERFACE	Click Simulations	Simulates mouse clicks for module actions.
INTERFACE	FakeLag	Removed legacy helper
INTERFACE	Friends	Keeps selected players out of module targeting.
INTERFACE	Interface	Global theme color.
INTERFACE	Panic	Disables all active modules.
INTERFACE	Unload Orchard	Disables Orchard and releases its runtime hooks until Minecraft restarts.
INTERFACE	Visual Switch	Visually switches hotbar slots during module actions.
MOVEMENT	Auto Play	Finds the nearest valid player, approaches safely and hands combat to Kill Aura.
MOVEMENT	Auto Walk	Automatically walks forward until toggled off or a menu is opened.
MOVEMENT	CollisionSpeed	Borrows the anticheat's per-entity collision lenience to move faster while pushable entities are near.
MOVEMENT	Jump Reset	Mitigates velocity by automatically jumping.
MOVEMENT	KeepSprint	Resets sprint after hits so follow-up hits keep momentum.
MOVEMENT	Move Fix	Keeps movement physics correct while modules use silent rotations
MOVEMENT	No Push	Prevents other entities from pushing you via collision.
MOVEMENT	NoJumpDelay	Removes the vanilla jump cooldown.
MOVEMENT	Parkour	Automatically jumps when you reach the edge of a block.
MOVEMENT	PearlChase	Throws an ender pearl to follow escaping opponents.
MOVEMENT	Perfect Windcharge	Automatically jumps when a wind charge is thrown at your feet.
MOVEMENT	SnapTap	Makes opposing movement inputs resolve to the most recent direction.
MOVEMENT	Speed	Legit speed with straight-line equalization or sprint + autojump.
MOVEMENT	Sprint	Keeps you sprinting like a vanilla toggle sprint.
MOVEMENT	SprintReset	Instantly resets sprint after successful hits.
MOVEMENT	SprintReset	Resets sprint on hit via W-Tap or S-Tap for extra knockback.
MOVEMENT	VClip	Clips you vertically through blocks.
PLAYER	Auto Reconnect	Reconnects to the last multiplayer server after a configurable delay.
PLAYER	AutoArmor	Automatically equips the best armor from your inventory.
